datetime,low,high,open,close,volumefrom,volumeto
2014-12-01,300.0,370.0,300.0,370.0,0.05656,19.53
2014-12-02,370.0,378.0,370.0,378.0,15.01,5675.07
2014-12-03,377.01,378.0,378.0,378.0,0.5466,206.52
2014-12-04,377.1,378.0,378.0,377.1,0.01,3.77
2014-12-05,377.1,377.1,377.1,377.1,0.0,0.0
2014-12-06,377.1,378.0,377.1,378.0,0.015,5.67
2014-12-07,378.0,378.0,378.0,378.0,0.0,0.0
2014-12-08,375.0,378.0,378.0,375.0,0.235,88.13
2014-12-09,375.0,375.0,375.0,375.0,0.0,0.0
2014-12-10,360.5,398.0,375.0,360.5,0.02,7.59
2014-12-11,360.5,360.5,360.5,360.5,0.0,0.0
2014-12-12,350.0,379.0,360.5,350.0,3.15,1115.49
2014-12-13,350.0,350.0,350.0,350.0,0.0,0.0
2014-12-14,350.0,350.0,350.0,350.0,0.0,0.0
2014-12-15,350.0,350.0,350.0,350.0,0.0,0.0
2014-12-16,350.0,350.0,350.0,350.0,0.0,0.0
2014-12-17,350.0,350.0,350.0,350.0,0.0,0.0
2014-12-18,340.0,350.0,350.0,340.0,2.0,685.0
2014-12-19,340.0,340.0,340.0,340.0,0.0,0.0
2014-12-20,340.0,340.0,340.0,340.0,0.0,0.0
2014-12-21,340.0,340.0,340.0,340.0,0.0,0.0
2014-12-22,340.0,340.0,340.0,340.0,0.0,0.0
2014-12-23,340.0,340.0,340.0,340.0,0.0,0.0
2014-12-24,340.0,340.0,340.0,340.0,0.0,0.0
2014-12-25,340.0,340.0,340.0,340.0,0.0,0.0
2014-12-26,340.0,340.0,340.0,340.0,0.0,0.0
2014-12-27,340.0,340.0,340.0,340.0,0.0,0.0
2014-12-28,340.0,340.0,340.0,340.0,0.0,0.0
2014-12-29,340.0,340.0,340.0,340.0,0.0,0.0
2014-12-30,340.0,340.0,340.0,340.0,0.0,0.0
2014-12-31,340.0,340.0,340.0,340.0,0.0,0.0
2015-01-01,340.0,340.0,340.0,340.0,0.0,0.0
2015-01-02,340.0,340.0,340.0,340.0,0.0,0.0
2015-01-03,340.0,340.0,340.0,340.0,0.0,0.0
2015-01-04,340.0,340.0,340.0,340.0,0.0,0.0
2015-01-05,340.0,340.0,340.0,340.0,0.0,0.0
2015-01-06,340.0,340.0,340.0,340.0,0.0,0.0
2015-01-07,340.0,340.0,340.0,340.0,0.0,0.0
2015-01-08,264.81,360.0,340.0,288.99,10.35,3055.55
2015-01-09,288.99,288.99,288.99,288.99,0.0,0.0
2015-01-10,288.99,288.99,288.99,288.99,0.0,0.0
2015-01-11,288.99,288.99,288.99,288.99,0.0,0.0
2015-01-12,288.99,288.99,288.99,288.99,0.0,0.0
2015-01-13,260.0,288.99,288.99,260.0,1.0,260.0
2015-01-14,109.87,260.0,260.0,120.0,11.3,1760.81
2015-01-15,120.0,224.0,120.0,211.91,2.87,571.46
